age1,age3,age5,age7,age9,age11,age13,age15,FID_68,IID_68,EA_01,EA_03,EA_05,EA_07,EA_09,EA_11,EA_13,EA_15,EMPL_1,EMPL_3,EMPL_5,EMPL_7,EMPL_9,EMPL_11,EMPL_13,EMPL_15
77,80,82,84,86,87,89,91,1579,175,17,17,17,17,17,,,,4,4,4,4,4,,,
34,36,38,40,42,44,46,48,1579,176,12,12,12,12,12,12,12,12,6,1,1,1,3,1,1,1
10,12,14,16,18,20,22,24,1579,177,,,,10,12,12,,,,,,3,3,3,3,
29,31,33,35,37,39,41,43,1579,178,13,13,13,13,13,12,,13,1,1,1,1,1,1,,1
7,9,11,13,15,17,19,21,1579,179,,,,,,9,,12,,,,,,7,,3
22,24,26,28,30,32,34,36,1579,180,13,13,13,13,14,14,14,14,1,1,6,6,6,6,6,6
25,27,29,31,33,35,37,39,1579,181,,,12,12,12,12,,12,,,1,1,1,1,,1
3,5,7,9,11,13,15,17,1579,182,,,,,,,,,,,,,,,,
20,22,24,26,28,30,32,34,1579,183,,12,12,12,13,,,,,1,1,1,1,,,
20,22,24,26,28,30,32,34,1579,184,,,,16,,,,,,,,,,,,
18,20,22,24,26,28,30,32,1579,185,,,13,13,15,15,15,15,,,1,1,1,1,1,1
18,20,22,24,26,28,30,32,1579,186,,,,,12,12,12,12,,,1,1,1,1,1,1
19,21,23,25,27,29,31,33,1579,187,,,16,16,15,15,15,15,,,1,6,6,6,6,6
21,23,25,27,29,31,33,35,1579,188,,,,,12,12,,12,,,,0,1,1,,
18,20,22,24,26,28,30,32,1579,189,,,,,,12,12,12,,,,,,1,1,1
19,21,23,25,27,29,31,33,1579,190,,,,,,16,16,16,,,,,,1,1,1
-4,-2,0,2,4,6,8,10,1579,191,,,,,,,,,,,,,,,,
-6,-4,-2,0,2,4,6,8,1579,192,,,,,,,,,,,,,,,,
19,21,23,25,27,29,31,33,1579,193,,,,,,,12,10,,,,,,,1,1
19,21,23,25,27,29,31,33,1579,194,,,,,,,,14,,,,,,,,1
73,75,77,79,81,83,85,87,1581,1,12,12,12,12,12,12,12,12,4,4,4,4,4,4,4,4
47,49,51,53,55,57,59,61,1581,4,12,12,12,12,12,12,12,,1,1,4,4,4,4,4,
70,72,74,76,78,80,82,84,1581,173,12,12,12,12,12,12,12,12,4,4,4,4,4,6,4,4
89,91,93,95,97,99,,,1583,2,12,12,12,,,,,,4,4,4,,,,,
49,51,52,54,56,58,60,62,1583,3,12,12,12,12,12,12,12,12,6,5,5,4,6,4,4,5
23,25,27,29,31,33,35,37,1583,30,12,12,12,12,15,15,15,15,1,1,1,1,1,1,1,1
12,14,16,17,19,22,24,26,1583,31,,,9,8,9,9,9,12,,,3,1,3,1,3,1
1,3,5,7,9,11,13,15,1583,32,,,,,,,,,,,,,,,,
-3,-1,1,3,5,7,9,11,1583,33,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,4,6,9,1583,34,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,2,4,1583,35,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,2,1583,36,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,1583,37,,,,,,,,,,,,,,,,
46,48,50,51,53,56,58,60,1583,171,9,8,,9,9,,,,1,5,,4,5,,,
71,73,75,77,79,81,83,85,1583,172,11,,,,,,,,4,,,,,,,
22,24,26,28,30,32,34,36,1583,173,12,12,12,14,14,14,14,14,1,1,1,1,1,1,1,1
60,62,64,66,68,70,72,74,1583,174,,12,11,,,,,,,6,6,,,,,
60,62,65,66,68,70,72,74,1583,175,,11,10,,,,,,,1,1,,,,,
40,42,44,46,48,50,52,54,1583,176,,12,12,,,,,,,1,1,,,,,
38,40,42,44,46,48,50,52,1583,177,,12,11,,,,,,,1,1,,,,,
37,39,41,43,45,47,49,51,1583,178,,,12,12,12,12,12,,,,4,5,1,4,3,
14,16,18,20,22,25,27,29,1583,179,,,,12,11,11,11,12,,,,3,1,1,1,1
18,20,22,24,26,28,30,32,1583,180,,,,14,13,,,,,,,1,1,,,
23,25,27,29,31,33,35,37,1583,181,,,,,,,,,,,,,,,,
9,11,13,15,17,19,21,23,1583,182,,,,,,,,14,,,,,,,,1
30,32,34,36,38,40,42,44,1583,183,,,,,,,,,,,,,,,,1
3,5,7,9,11,13,15,17,1583,184,,,,,,,,9,,,,,,,,7
-3,-1,1,3,5,7,9,11,1583,185,,,,,,,,,,,,,,,,
-8,-6,-4,-2,0,2,4,6,1583,186,,,,,,,,,,,,,,,,
11,13,15,17,19,21,23,25,1583,187,,,,,,,,14,,,,,,,,6
-13,-11,-9,-7,-5,-3,-1,1,1583,188,,,,,,,,,,,,,,,,
44,45,48,50,52,54,56,58,1588,4,16,16,,,,,,,1,7,,,,,,
39,41,43,45,47,49,51,53,1588,171,17,17,,,,,,,1,1,,,,,,
70,72,74,76,78,80,83,85,1590,1,16,16,16,16,17,17,17,17,4,4,4,4,4,4,4,4
61,63,65,67,69,71,73,74,1590,2,12,12,12,12,12,12,12,,1,1,1,4,4,4,4,
31,34,36,38,40,42,44,46,1590,30,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1
29,31,33,35,37,39,42,44,1590,31,14,14,14,14,14,14,14,14,1,6,6,6,1,1,1,1
24,26,29,30,32,34,36,38,1590,32,14,14,14,14,,14,14,14,1,1,1,,,1,3,1
-1,1,3,5,7,9,11,13,1590,33,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,4,6,9,1590,34,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,2,1590,35,,,,,,,,,,,,,,,,
23,25,28,29,31,33,36,38,1590,170,15,15,15,15,,16,16,16,7,3,1,,,1,1,1
27,29,31,33,35,37,39,41,1590,171,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
72,74,76,78,80,82,84,86,1591,1,16,16,16,16,15,15,15,15,4,4,4,4,4,4,4,4
70,72,74,76,78,80,83,85,1591,2,12,12,12,12,12,12,12,12,6,4,6,6,4,4,4,6
48,50,52,54,56,58,60,63,1591,3,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,4
47,49,51,53,55,57,59,61,1591,4,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
42,44,46,48,50,52,54,56,1591,5,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1
38,40,42,44,46,48,50,52,1591,6,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1
44,46,48,50,52,54,56,58,1591,7,14,14,14,14,14,14,14,14,1,1,1,1,1,4,4,4
19,21,23,25,27,29,31,33,1591,30,12,,,16,16,16,16,16,7,,,1,1,1,1,1
18,20,22,24,26,28,30,32,1591,31,11,,,17,17,17,17,17,1,,,1,1,1,1,1
18,20,21,24,26,27,30,31,1591,32,11,,,16,17,16,16,16,1,,,1,1,1,1,1
14,16,18,20,22,24,26,28,1591,33,,9,12,,,,,,,1,1,,,,,
13,15,17,19,21,23,25,27,1591,34,,,11,12,,16,,,,,1,,,1,,
11,13,15,17,19,21,23,25,1591,35,,,,10,12,,,16,,,,1,7,,,1
9,11,13,15,17,19,21,23,1591,36,,,,,10,,,16,,,,0,7,,,1
6,8,9,11,13,15,18,19,1591,37,,,,,,,12,13,,,,,,,1,7
-13,-11,-9,-7,-5,-3,-1,1,1591,38,,,,,,,,,,,,,,,,
47,49,50,53,55,56,59,60,1591,170,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
48,50,52,54,56,58,60,63,1591,171,13,13,13,13,13,13,13,13,1,1,1,1,1,1,1,4
43,45,47,48,51,53,55,56,1591,172,17,17,17,17,17,17,17,17,6,6,1,1,1,1,1,1
20,22,24,26,28,30,32,34,1591,173,,,,,,17,17,17,,,,,,1,1,1
13,15,17,19,21,23,25,27,1591,174,,,,,,,,17,,,,,,,,1
10,12,14,16,18,20,22,24,1591,175,,,,,,,,16,,,,,,,,1
69,71,72,75,77,79,81,83,1597,1,15,15,14,,,,,,4,4,,,,,,
67,69,71,73,75,77,79,81,1597,2,12,12,13,13,12,12,12,12,4,4,4,4,4,4,4,4
36,38,40,43,44,46,48,50,1597,3,13,13,13,13,,14,14,14,6,6,6,,,1,1,1
33,35,37,40,41,43,45,47,1597,4,16,16,16,16,16,16,16,16,3,1,1,1,1,1,1,1
10,12,14,16,18,20,22,24,1597,30,,,,11,,14,14,16,,,,,,1,1,1
7,10,12,14,15,18,19,22,1597,31,,,,,,12,,,,,,,,3,,
1,3,5,7,9,11,13,15,1597,32,,,,,,,,,,,,,,,,
43,45,48,50,51,54,55,57,1597,170,15,15,15,15,,,,,1,1,1,,,,,
68,70,72,74,76,78,80,82,1599,2,12,12,12,12,12,12,12,12,1,4,4,4,4,4,4,4
46,48,50,52,54,56,58,60,1599,3,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1
13,15,17,19,21,23,25,27,1599,30,,,10,13,,,16,16,,,7,,,,1,1
10,12,14,16,18,20,22,24,1599,31,,,,9,12,,16,16,,,,7,7,,3,1
44,45,47,49,51,53,55,57,1599,170,16,16,16,16,16,16,16,16,6,6,6,1,1,1,6,4
79,81,83,85,87,89,91,93,1602,1,9,9,,,,,,,4,4,,,,,,
76,78,80,82,84,86,88,90,1602,2,,,,,,,,,,,,,,,,
53,55,57,59,61,63,65,67,1605,1,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,4
24,26,28,30,32,34,36,38,1605,30,15,15,16,16,17,17,17,17,3,1,1,1,1,1,1,1
20,22,24,26,28,30,32,34,1605,31,12,,,,14,14,16,16,3,,,0,1,3,1,1
53,55,57,59,61,63,65,67,1605,170,12,12,12,12,12,12,12,12,1,1,1,1,1,1,4,4
26,28,30,32,34,36,38,40,1605,172,,,17,,,,,,1,1,1,,,,,
16,18,20,22,24,26,28,30,1605,173,,,,,16,16,,,,,,0,1,1,1,
35,37,39,41,43,45,47,49,1605,174,,,,,,16,,,,,,,,1,,
32,34,36,38,40,42,44,46,1605,175,,,,,,,16,16,,,,,,,1,1
62,64,66,68,70,72,74,76,1608,1,12,12,12,12,12,12,12,12,4,4,4,4,4,4,4,4
59,61,63,65,67,69,71,73,1608,2,11,11,11,11,12,12,12,12,1,1,1,1,1,1,4,4
29,31,33,35,37,39,41,43,1608,30,14,14,16,16,14,14,14,,3,1,1,7,6,6,6,
27,29,31,34,36,37,40,42,1608,31,12,12,12,12,12,,12,12,3,2,1,1,1,,1,1
9,11,13,15,17,19,21,23,1608,32,,,,,8,9,9,9,,,,0,3,1,1,3
8,10,12,14,16,18,20,22,1608,33,,,,,9,12,12,12,,,,0,3,6,1,1
50,52,54,56,58,60,62,63,1608,172,14,14,14,14,14,14,14,,1,1,1,1,3,3,4,
23,25,27,29,31,33,35,37,1608,173,15,,,,,,,,1,,,,,,,
50,52,54,56,58,60,62,64,1608,174,,,,,12,12,12,12,1,1,1,1,1,1,1,1
38,40,42,44,46,48,50,52,1608,175,12,,,,,,,,1,,,,,,,
29,31,33,35,37,39,41,43,1608,176,12,12,12,12,,,,,1,1,1,,,,,
32,34,36,39,41,43,44,46,1608,177,,,12,12,12,12,12,,,,1,1,1,1,1,
14,16,18,20,22,24,26,28,1608,178,,,,,,13,13,13,,,,,,1,1,
29,31,33,35,37,39,41,43,1608,179,,,,,,,,14,,,,,,,,1
-4,-2,0,2,4,6,8,10,1608,180,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,3,5,7,1608,181,,,,,,,,,,,,,,,,
63,65,67,69,71,74,75,77,1610,1,14,14,14,14,,,,,1,1,5,4,5,4,,
62,64,66,68,70,72,74,76,1610,2,14,14,14,14,12,12,12,12,1,1,1,4,4,4,4,4
29,31,33,35,37,39,41,43,1610,30,14,14,14,14,14,14,14,14,1,1,1,1,1,1,3,3
7,9,11,13,15,17,19,21,1610,31,,,,,,10,10,10,,,,,,7,5,6
71,73,75,77,79,81,83,85,1611,1,6,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4
68,69,71,74,75,78,79,81,1611,2,12,12,12,12,12,12,12,12,6,4,4,4,4,4,4,4
46,47,49,52,54,56,57,59,1611,3,12,12,12,12,14,14,16,16,1,1,1,1,1,1,1,1
43,45,47,49,51,53,55,57,1611,4,14,14,14,14,14,,,,1,1,1,1,1,,,
39,41,43,45,47,49,51,53,1611,5,12,12,12,12,12,12,12,12,6,1,1,1,1,1,1,1
32,34,36,38,40,42,44,46,1611,30,14,14,14,14,16,,16,14,1,1,1,1,1,,1,1
23,25,27,29,31,33,35,37,1611,31,12,12,12,12,12,12,12,,1,1,1,1,1,1,1,
12,13,15,17,19,21,23,25,1611,32,,,,12,13,15,15,15,,,,1,1,1,1,1
7,9,11,14,16,17,20,21,1611,33,,,,,9,,12,,,,,0,7,,1,
6,8,10,12,14,16,18,20,1611,34,,,,,,,,15,,,,,,,7,1
3,5,7,10,12,13,16,18,1611,35,,,,,,,9,11,,,,,,,7,7
1,2,4,6,8,10,12,14,1611,36,,,,,,,,,,,,,,,,
-3,-1,1,3,5,7,9,11,1611,37,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,3,5,7,1611,38,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,6,1611,39,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,1611,40,,,,,,,,,,,,,,,,
49,50,52,55,56,59,60,62,1611,170,15,15,15,15,14,14,14,,1,1,1,1,5,5,5,
47,48,50,52,54,56,58,60,1611,172,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
32,34,36,38,40,42,44,46,1611,174,13,13,13,13,14,,14,14,7,1,1,1,1,,1,1
44,46,48,50,52,54,56,58,1611,175,15,15,15,15,15,,,,1,1,1,1,1,,,
20,22,24,26,28,30,32,34,1611,176,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
16,17,20,22,23,26,28,30,1611,177,10,11,14,,,,,,7,7,7,,,,,
24,26,28,30,32,34,36,38,1611,178,13,,,,,,,,1,,,,,,,
19,21,23,25,27,29,31,33,1611,179,13,13,13,13,14,14,14,14,1,1,1,1,1,1,1,1
23,25,27,29,31,33,35,37,1611,180,,14,14,14,14,14,14,,,1,1,6,6,1,1,
1,3,5,7,9,11,13,15,1611,181,,,,,,,,,,,,,,,,
14,16,18,20,22,24,26,28,1611,182,,,,,,,,,,,,,,1,,
6,8,10,12,14,16,18,20,1611,183,,,,,,,11,,,,,,,,1,
23,25,27,29,31,33,35,37,1611,184,,,,,,,,14,,,,,,,,3
-9,-7,-5,-3,-1,1,3,5,1611,185,,,,,,,,,,,,,,,,
72,74,76,78,80,83,85,86,1612,1,14,14,14,14,14,14,14,14,4,4,4,4,4,4,4,4
70,72,74,76,78,80,82,84,1612,2,14,14,14,14,14,14,14,14,,6,4,6,6,4,6,6
39,41,44,45,47,49,51,53,1612,3,14,14,14,14,14,14,14,14,1,1,1,1,1,1,1,1
11,13,15,17,19,21,23,25,1612,30,,,,10,12,14,16,,,,,3,3,7,1,
37,39,41,43,45,47,50,51,1612,170,14,14,14,14,14,14,,,1,1,1,1,1,1,1,
47,49,51,53,55,57,59,61,1612,171,12,12,12,12,12,12,,,1,1,1,1,1,1,1,
36,38,40,42,44,46,48,50,1612,172,,,12,12,12,12,12,12,,,1,3,1,1,1,1
5,7,9,11,13,15,17,19,1612,173,,,,,,,10,12,,,,,,,3,1
8,10,12,14,16,18,20,22,1612,174,,,,,9,11,,,,,,0,1,7,,
11,13,15,17,19,21,23,25,1612,175,,,,,,,16,,,,,,,,1,
73,75,77,79,81,83,84,87,1613,1,12,12,12,12,12,12,,,4,4,4,4,4,4,,
69,71,73,75,77,79,81,83,1613,2,13,13,13,13,12,12,12,,4,4,4,4,4,4,4,
49,51,53,55,57,59,61,63,1613,3,,12,,,,,,,,1,,,,,,
48,50,52,54,56,58,60,62,1613,4,12,12,12,12,12,12,12,12,2,4,4,4,4,4,4,4
46,48,50,53,55,57,58,60,1613,5,15,15,15,15,16,16,16,16,1,1,1,1,1,1,1,1
42,44,46,48,50,52,54,56,1613,6,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
39,41,43,45,48,50,52,53,1613,7,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
37,39,41,43,45,47,49,51,1613,8,16,16,16,16,16,16,17,17,1,1,1,1,1,1,1,1
22,23,25,27,29,31,34,35,1613,32,13,13,13,13,13,,,14,1,1,6,6,1,1,,3
20,23,25,26,29,31,33,35,1613,33,13,16,16,16,17,17,17,17,7,1,1,1,1,1,1,1
19,20,23,25,27,29,31,33,1613,34,13,,13,13,13,13,13,13,3,1,1,1,1,1,1,1
18,20,22,24,26,28,30,33,1613,35,13,13,13,13,13,13,13,13,7,1,1,1,1,1,1,1
15,17,18,21,23,25,27,28,1613,36,,10,12,,16,16,16,16,,7,7,0,1,1,1,1
14,16,18,20,22,24,26,28,1613,37,,9,11,13,14,13,12,12,,7,7,7,1,1,1,1
12,14,16,18,20,22,24,26,1613,38,,,9,11,14,15,16,16,,,7,7,7,7,1,1
8,10,12,14,16,18,20,22,1613,39,,,,,9,12,14,14,,,,0,7,3,1,1
8,9,11,13,15,17,19,21,1613,41,,,,,,11,,,,,,,,7,7,
5,7,9,11,13,15,17,19,1613,42,,,,,,,10,12,,,,,,,1,1
3,4,6,8,10,12,14,16,1613,43,,,,,,,,11,,,,,,,,3
1,2,3,6,8,10,13,14,1613,44,,,,,,,,,,,,,,,,
-3,-1,1,2,4,6,8,10,1613,45,,,,,,,,,,,,,,,,
-3,-1,1,4,5,7,9,12,1613,46,,,,,,,,,,,,,,,,
-3,-1,1,3,5,7,9,12,1613,47,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,4,6,8,1613,48,,,,,,,,,,,,,,,,
-5,-3,-1,1,1,3,5,8,1613,49,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,4,7,9,1613,50,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,6,1613,51,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,1613,52,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,1613,53,,,,,,,,,,,,,,,,
48,50,52,54,56,58,60,62,1613,170,12,12,12,12,12,12,12,12,1,1,1,1,1,1,4,4
43,45,47,49,51,53,55,57,1613,172,13,13,13,13,12,12,12,12,1,1,1,1,1,1,1,1
39,41,43,45,47,49,51,53,1613,175,16,16,16,16,17,17,17,17,1,1,1,1,1,1,1,1
35,37,39,41,43,45,47,49,1613,176,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1
49,51,53,55,57,59,61,63,1613,177,,12,,,,,,,,1,,,,,,
18,20,22,24,26,28,30,32,1613,179,,,,,,,,,,,,,,,,
23,25,27,29,31,33,35,37,1613,180,,17,,,,,,,,1,,,,,,
26,27,29,31,33,36,38,40,1613,181,12,12,12,12,,,,12,1,1,1,1,1,,,1
22,24,26,28,30,32,34,36,1613,182,,16,,,,,,,,1,,,,,,
22,24,26,28,30,32,34,36,1613,183,,17,17,,,,,,,3,1,,,,,
15,17,19,21,23,25,27,29,1613,184,,,13,12,13,15,13,13,,,1,1,1,1,1,1
23,25,27,29,31,33,35,38,1613,185,,,,,12,12,12,12,,,,0,1,1,1,1
22,24,26,28,30,32,34,36,1613,186,,,,,,,,13,,,,,,,,1
52,54,56,58,60,62,64,66,1613,187,,,,,,,,13,,,,,,,,4
57,59,61,63,65,67,69,71,1620,1,17,17,17,17,16,,,,4,4,4,4,4,,,
55,57,59,61,63,65,67,69,1620,170,17,17,17,17,17,,,,1,1,4,4,4,,,
56,58,60,62,64,67,68,71,1621,1,12,12,12,12,12,12,12,12,1,5,5,1,1,1,1,1
55,57,59,61,63,65,67,69,1621,2,12,12,12,12,12,12,12,12,1,1,1,1,1,1,4,4
37,39,41,44,46,47,50,51,1621,3,16,16,16,16,17,17,17,17,1,1,1,1,1,1,1,1
31,34,35,37,39,42,43,46,1621,30,12,12,,,12,12,12,12,1,1,,0,1,1,5,5
14,16,18,20,22,24,27,28,1621,31,,10,12,13,15,,16,16,,1,7,1,1,,1,1
10,13,15,17,19,21,23,25,1621,32,,,,11,13,,,17,,,,7,1,,,1
-7,-5,-3,-1,1,3,5,7,1621,33,,,,,,,,,,,,,,,,
87,89,91,93,93,97,99,,1621,170,12,12,12,12,,,,,4,4,4,,,,,
39,41,43,45,47,49,51,53,1621,171,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1
32,34,36,38,40,42,44,46,1621,174,,,,,11,12,,,,,,0,6,6,,
80,82,84,86,88,90,92,94,1624,1,17,17,17,17,16,,,,4,4,4,4,4,,,
49,51,53,55,57,58,61,63,1624,2,12,12,12,12,16,16,16,16,1,3,3,3,1,1,1,1
45,47,49,51,53,55,57,59,1624,3,14,14,14,14,14,14,14,14,1,1,6,1,6,6,6,1
51,53,55,57,59,61,64,65,1624,21,16,16,16,16,15,15,15,15,1,1,1,1,1,1,1,1
18,20,22,24,26,28,30,32,1624,32,11,,,16,16,16,17,17,7,,,1,7,7,1,1
17,19,21,23,25,27,29,31,1624,33,10,13,13,13,16,16,16,16,1,1,1,1,1,1,1,1
13,15,17,19,21,23,25,27,1624,35,,,11,15,16,16,16,16,,,7,1,1,1,1,1
12,14,16,18,21,22,25,27,1624,36,,,10,12,12,12,12,12,,,7,1,1,1,1,1
10,12,14,16,19,20,23,25,1624,37,,,,10,13,14,16,16,,,,1,3,1,1,1
53,55,57,59,61,63,65,67,1624,174,12,12,12,12,12,12,12,12,1,6,6,6,1,6,6,4
40,42,44,46,48,50,52,54,1624,177,13,13,13,13,16,16,16,16,1,1,1,1,1,1,1,1
46,48,50,52,54,56,58,60,1624,178,,,,,,,,,1,1,1,1,1,1,1,1
17,19,21,22,25,27,29,31,1624,179,,,,15,,,,,,,,,,,,
51,53,55,57,59,59,63,65,1624,180,,,,,15,,,,,,,0,4,,,
14,16,18,20,22,24,26,28,1624,181,,,,,,17,,17,,,,,,2,1,1
13,15,17,19,21,23,25,27,1624,182,,,,,,,,16,,,,,,,,1
24,26,28,30,32,34,36,38,1624,183,,,,,,,,16,,,,,,,,1
58,60,62,64,66,68,70,72,1627,1,12,,,,,,,,1,,,,,,,
56,58,60,62,64,66,68,70,1627,2,15,15,15,15,16,16,16,16,1,1,1,1,1,1,1,1
32,34,36,38,40,42,44,46,1627,30,14,14,14,14,14,14,14,14,1,1,1,6,6,6,6,6
24,26,28,30,32,35,36,38,1627,31,12,14,13,15,16,16,16,16,1,1,1,1,1,1,1,1
6,8,10,12,14,16,18,20,1627,32,,,,,,9,11,12,,,,,,7,7,3
-5,-3,-1,1,3,5,7,9,1627,33,,,,,,,,,,,,,,,,
36,38,40,42,44,46,48,50,1627,170,12,12,12,12,12,12,12,12,1,1,1,1,1,1,1,1
51,53,55,57,59,61,63,65,1627,171,12,,,,,,,,1,,,,,,,
11,13,15,17,19,21,23,25,1627,173,,,,,,,,,,,,,,,,
10,12,14,16,18,20,22,24,1627,174,,,,,,,,,,,,,,,,
16,18,20,22,24,26,28,30,1627,175,,,,,11,12,,,,,,9,1,1,,
14,16,18,20,22,24,26,28,1627,176,,,,,,,12,12,,,,,,,1,1
64,66,68,70,72,74,76,78,1628,1,12,12,12,12,12,12,12,12,4,4,4,4,4,4,4,4
59,62,63,65,68,69,71,74,1628,2,11,11,11,11,,,11,11,6,6,6,4,6,6,6,4
40,42,44,46,49,50,52,54,1628,3,12,12,12,12,13,,,,1,1,1,1,1,,,
37,39,41,43,45,47,49,51,1628,4,12,12,12,12,16,,,,3,1,3,,,,,
35,37,39,41,43,45,47,49,1628,5,13,13,13,13,13,13,13,13,1,1,1,1,3,3,3,1
18,20,22,24,26,28,30,32,1628,30,11,14,,14,13,,,,1,1,1,1,1,,,
15,17,19,21,24,25,27,29,1628,31,,12,13,14,16,,,,,1,1,1,3,,,
9,11,13,15,18,19,21,23,1628,32,,,,,10,,,,,,,,,,,
6,8,10,12,15,16,18,20,1628,33,,,,,,,,,,,,,,,,
1,3,5,8,10,11,13,15,1628,34,,,,,,,,,,,,,,,,
44,46,48,50,52,54,56,58,1628,170,12,12,12,12,12,,,,1,1,1,1,1,,,
49,50,53,55,57,59,61,63,1628,171,12,12,,,12,,,,1,1,,0,4,,,
37,39,41,43,45,47,49,51,1628,173,,12,,,,,,,,1,,,,,,
74,76,78,80,82,84,86,88,1628,174,,,,,,,,,,,,,,,,
40,42,44,46,48,50,52,54,1628,175,,,,,,,,,,,,,,,,
73,75,77,80,81,84,85,87,1630,1,17,17,17,17,17,17,,,1,4,4,4,4,4,,
71,73,73,77,79,81,83,85,1630,2,16,16,,,,,,,4,6,,,,,,
47,49,51,53,55,57,59,61,1630,3,16,,,,,,,,1,,,,,,,
44,46,48,50,52,54,56,58,1630,4,17,17,17,17,16,16,16,16,6,6,6,6,6,6,4,4
41,44,46,47,49,52,53,55,1630,5,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1
16,18,20,22,24,26,28,30,1630,30,9,12,,,16,16,16,16,7,7,,0,3,1,1,1
13,16,18,19,21,24,25,27,1630,31,,9,11,13,,16,16,16,,7,7,,,1,1,1
13,15,17,19,21,23,25,27,1630,32,,,10,13,,16,17,17,,,7,,,1,1,1
8,10,12,14,16,18,20,22,1630,33,,,,,9,12,14,,,,,0,7,7,7,1
8,10,12,14,16,18,20,22,1630,34,,,,,9,12,,,,,,0,7,7,,
40,42,44,46,47,50,52,53,1630,170,16,16,16,16,16,16,16,16,1,1,1,1,1,1,1,1
44,46,48,50,52,55,57,58,1630,171,16,16,16,16,16,16,16,16,1,1,1,1,1,1,4,4
49,51,53,55,57,59,61,63,1630,172,17,,,,,,,,1,,,,,,,
16,18,20,22,24,26,28,29,1630,173,,,,,,,16,,,,,,,,1,
16,18,20,22,24,26,28,30,1630,174,,,,,,,,16,,,,,,,,1
55,58,59,62,63,65,68,69,1632,1,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,4
12,14,16,18,20,22,24,26,1632,30,,,13,12,,,16,17,,,7,,,,6,7
8,10,12,14,16,18,20,22,1632,31,,,,,9,12,13,,,,,0,7,1,7,
53,55,57,59,61,63,65,67,1632,170,16,16,16,16,16,16,16,16,1,1,1,1,1,1,6,4
28,30,32,34,36,38,41,42,1632,172,,,,,,16,,,,,,,,1,,
85,87,89,91,93,95,97,99,1633,1,,,,,,,,,,,,,,,,
79,81,83,85,87,89,91,93,1633,2,12,12,12,,,,,,4,4,4,,,,,
50,52,55,56,58,60,62,64,1633,4,11,12,12,,,,,,1,1,1,,,,,
-3,-1,1,2,4,6,8,10,1633,30,,,,,,,,,,,,,,,,
-3,-1,1,2,4,6,8,10,1633,31,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,3,1633,32,,,,,,,,,,,,,,,,
31,33,35,38,39,41,43,46,1633,170,14,14,14,14,13,13,13,13,1,1,2,6,1,1,1,1
26,28,30,32,34,36,38,40,1633,171,,,,,14,14,14,14,1,1,1,1,1,3,1,1
53,54,57,59,61,63,65,67,1633,172,12,,,,,,,,3,,,,,,,
34,36,38,40,42,44,46,48,1633,173,10,10,,,,,,,5,5,,,,,,
11,13,15,17,19,21,23,25,1633,174,,,,10,12,12,12,12,,,,7,1,3,1,1
9,11,13,15,17,19,21,23,1633,175,,,,,9,11,11,11,,,,0,7,1,3,1
29,31,33,35,37,40,42,44,1633,176,,,,,15,15,15,15,1,1,1,1,1,1,1,1
30,32,34,36,38,40,42,44,1633,177,11,11,,,,,,,1,1,,,,,,
12,14,16,18,20,22,24,26,1633,178,,,,,,,,,,,,,,,,
37,39,41,43,45,47,49,51,1633,179,,14,14,14,13,13,13,,,1,1,1,1,1,1,1
11,13,15,17,19,21,23,25,1633,180,,,,,,12,,16,,,,,,1,1,1
