age1,age3,age5,age7,age9,age11,age13,age15,FID_68,IID_68,EA_01,EA_03,EA_05,EA_07,EA_09,EA_11,EA_13,EA_15,EMPL_1,EMPL_3,EMPL_5,EMPL_7,EMPL_9,EMPL_11,EMPL_13,EMPL_15
23,25,27,29,31,33,35,37,5,184,,,,,,,,12,,,,,,,,1
13,15,17,19,21,23,25,27,5,185,,,,,,,12,,,,,,,,1,
50,52,54,56,58,60,62,64,5,186,,,,,,,,9,,,,,,,,5
78,79,82,84,86,88,90,92,6,1,8,,,,,,,,4,,,,,,,
79,81,83,85,87,89,91,93,6,2,12,12,12,12,12,12,12,12,4,6,6,6,4,6,4,5
53,55,57,59,61,63,65,67,6,3,,13,17,,,,,,,1,1,,,,,
52,54,56,58,60,62,64,66,6,4,12,12,12,12,13,13,13,13,1,1,1,1,1,1,1,1
46,48,50,52,54,56,58,60,6,6,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1
28,30,32,34,36,39,40,42,6,30,,,,,16,16,16,16,1,1,1,1,1,1,1,1
26,28,30,32,34,36,38,40,6,31,16,,,16,16,16,16,,7,,,1,1,1,1,
20,22,24,26,28,30,33,34,6,32,,,16,16,16,16,17,17,,,1,1,1,1,1,1
19,21,23,25,27,29,31,33,6,33,13,,,16,16,16,16,,7,,,1,1,1,1,
17,18,20,23,24,27,28,30,6,34,11,12,,17,17,17,17,17,7,7,,1,7,1,1,1
-1,1,3,5,7,9,11,13,6,35,,,,,,,,,,,,,,,,
-3,-1,1,2,4,7,8,10,6,36,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,5,6,8,6,37,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,4,6,9,6,38,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,7,6,39,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,3,6,40,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,2,6,41,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,6,42,,,,,,,,,,,,,,,,
56,58,60,62,64,66,68,70,6,170,11,11,11,11,11,11,11,11,1,1,1,1,1,1,1,1
46,47,49,51,53,56,57,59,6,172,16,16,16,16,16,16,16,16,6,6,1,6,6,6,1,1
27,29,31,33,35,37,39,41,6,174,,,,,16,16,16,16,1,1,1,1,1,1,1,1
26,28,30,32,34,36,38,40,6,175,,,,17,16,16,16,,,,,6,1,1,1,
11,13,15,17,19,21,23,25,6,176,,,,,,,,,,,,,,,,
18,20,22,24,26,28,31,32,6,177,,,,,,16,16,16,,,,,,1,1,2
20,22,24,26,28,30,32,34,6,178,,,,,,,,,,,,,,,3,
75,77,79,81,83,85,87,89,7,2,7,7,,,,,,,6,5,,,,,,
47,49,50,52,54,56,59,60,7,3,12,12,12,12,12,12,12,12,5,5,5,5,4,5,5,5
45,48,49,51,53,55,57,59,7,4,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1
43,45,47,49,51,53,55,57,7,5,11,11,11,11,11,11,11,11,5,3,5,5,5,5,5,5
29,31,33,35,37,39,41,43,7,30,11,11,12,12,12,12,12,12,6,3,1,1,3,6,6,5
27,29,31,33,35,37,39,41,7,31,11,11,11,11,11,11,11,11,1,1,1,1,3,1,1,1
26,28,30,32,34,36,38,40,7,32,,10,10,10,11,11,11,11,1,1,1,1,1,1,1,1
27,29,31,33,35,37,39,41,7,33,11,11,11,11,11,11,11,11,1,6,6,6,1,1,1,3
26,28,30,32,34,36,38,40,7,34,11,11,11,11,11,11,11,11,3,1,1,2,1,1,1,1
24,27,28,30,32,34,36,38,7,35,10,10,10,10,10,10,10,10,1,1,1,1,1,1,1,1
20,22,24,26,28,30,32,34,7,36,12,12,12,12,12,12,12,12,6,6,6,1,6,6,6,1
20,22,24,26,28,30,32,35,7,37,11,11,11,11,11,11,11,10,1,1,1,1,1,1,1,7
17,19,21,23,25,27,29,32,7,38,10,,12,12,12,12,12,12,7,,1,3,1,1,3,1
13,15,17,19,21,23,25,27,7,39,,,11,12,12,12,12,12,,,3,1,1,1,1,1
11,14,15,17,19,21,23,25,7,40,,,,11,12,12,12,12,,,,7,6,6,6,6
10,13,14,16,18,20,22,24,7,41,,,,9,12,12,,,,,,7,7,3,,3
9,11,13,15,17,19,21,23,7,42,,,,,11,13,14,14,,,,0,7,3,1,1
9,11,13,15,17,19,21,24,7,43,,,,,10,11,10,10,,,,0,7,1,3,1
8,10,12,14,16,18,20,22,7,44,,,,,9,11,9,9,,,,0,7,6,3,3
8,10,12,14,16,18,20,22,7,45,,,,,10,10,12,12,,,,0,7,7,3,1
7,9,11,13,15,17,20,21,7,46,,,,,,10,12,12,,,,,,7,1,6
5,7,9,11,13,15,18,19,7,47,,,,,,,,12,,,,,,,,3
4,6,8,10,12,14,17,18,7,48,,,,,,,,,,,,,,,,
2,4,6,8,10,12,14,16,7,49,,,,,,,,9,,,,,,,,7
1,2,3,5,7,9,12,13,7,50,,,,,,,,,,,,,,,,
-1,1,2,4,6,8,11,13,7,51,,,,,,,,,,,,,,,,
-3,-1,1,3,5,7,9,11,7,52,,,,,,,,,,,,,,,,
-3,-1,1,3,5,7,9,11,7,53,,,,,,,,,,,,,,,,
-5,-3,-1,1,2,4,7,8,7,54,,,,,,,,,,,,,,,,
-7,-5,-3,-1,1,2,4,6,7,55,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,4,5,7,56,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,2,4,7,57,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,2,4,7,58,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,7,59,,,,,,,,,,,,,,,,
-11,-9,-7,-5,-3,-1,1,3,7,60,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,7,61,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,7,62,,,,,,,,,,,,,,,,
-13,-11,-9,-7,-5,-3,-1,1,7,63,,,,,,,,,,,,,,,,
47,49,51,53,55,57,59,61,7,170,12,12,12,12,12,12,,,1,1,1,1,1,1,1,
45,47,49,51,53,54,57,59,7,171,11,11,11,11,11,11,,12,1,1,6,5,4,6,,5
28,30,31,33,35,37,39,41,7,175,12,12,12,12,12,12,12,12,1,6,6,6,3,6,6,1
30,32,34,36,38,40,42,44,7,177,,,,12,12,12,,,,,,1,1,1,,
37,39,41,43,45,47,49,51,7,180,,,,,,,,,,,,,,,,
11,13,15,17,19,21,23,25,7,181,,,,,,,,,,,,,,,,
22,24,26,28,30,32,34,36,7,182,9,9,9,9,12,12,14,14,6,6,6,6,3,7,7,6
19,21,23,25,27,29,31,33,7,183,,,,,,,,,1,,,,,,,
31,33,35,37,39,41,43,45,7,184,8,8,8,8,,,,,3,1,1,1,1,1,3,1
29,31,32,35,37,39,41,43,7,185,11,11,11,,,,,,1,3,,,,,,
20,22,24,26,28,30,32,34,7,186,12,12,12,12,12,12,12,12,3,3,1,1,1,1,1,1
26,28,29,31,33,35,38,40,7,187,14,14,14,14,12,12,,,1,1,1,1,1,1,5,
17,19,21,23,25,27,29,31,7,188,,11,,,11,11,11,11,,3,6,6,6,3,6,6
-1,1,3,5,7,9,11,14,7,189,,,,,,,,,,,,,,,,
35,37,38,40,43,45,47,49,7,190,,12,12,11,,,,,,2,5,,,,,
14,16,17,19,22,24,26,28,7,191,,,8,11,,,,,,,7,,,,,
12,14,15,17,20,22,24,26,7,192,,,,7,,,,,,,,,,,,
4,6,7,9,12,14,16,18,7,193,,,,,,,,11,,,,,,,,7
12,14,16,18,20,22,24,26,7,194,,,,,12,12,12,12,,,,0,1,1,1,1
21,23,25,27,29,31,42,44,7,195,,,,,12,,,12,,,,0,3,,1,
7,9,11,13,15,17,19,21,7,196,,,,,10,,,,,,,0,7,,,
2,4,6,8,10,12,10,12,7,197,,,,,,,,,,,,,,,,
2,4,6,8,10,12,14,16,7,198,,,,,,,,,,,,,,,,
9,11,13,15,17,19,22,24,7,199,,,,,,12,12,12,,,,,,1,1,3
12,14,16,18,20,22,24,26,7,200,,,,,,12,12,12,,,,,,3,3,1
-5,-3,-1,1,3,5,7,10,7,201,,,,,,,,,,,,,,,,
34,36,38,40,42,44,46,47,7,202,,,,,,12,12,,,,,,,1,5,
39,41,43,45,47,49,52,53,7,203,,,,,,,12,12,,,,,,,4,5
8,10,12,14,16,18,20,22,7,205,,,,,,,12,12,,,,,,,3,1
6,8,10,12,14,16,18,20,7,206,,,,,,,,12,,,,,,,,3
11,13,15,17,19,21,23,25,7,207,,,,,,,12,12,,,,,,,3,3
2,4,6,8,10,12,14,16,7,208,,,,,,,,9,,,,,,,,7
-6,-4,-2,0,2,4,6,8,7,209,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,3,5,7,210,,,,,,,,,,,,,,,,
3,5,7,9,11,13,15,17,7,211,,,,,,,,11,,,,,,,,
0,2,4,6,8,10,12,14,7,212,,,,,,,,,,,,,,,,
0,2,4,6,8,10,12,14,7,213,,,,,,,,,,,,,,,,
-5,-3,-1,1,3,5,7,9,7,214,,,,,,,,,,,,,,,,
8,10,12,14,16,18,20,22,7,215,,,,,,,,12,,,,,,,,1
27,29,31,33,35,37,39,41,7,216,,,,,,,,14,,,,,,,,1
9,11,13,15,17,19,21,23,7,217,,,,,,,,12,,,,,,,,1
57,59,61,63,65,67,69,71,10,3,14,14,14,14,15,15,15,15,5,5,5,1,7,4,1,4
37,39,41,43,45,47,49,51,10,6,14,14,14,14,14,14,14,14,3,3,3,1,1,1,1,1
35,37,39,41,43,45,47,49,10,7,14,14,14,14,14,14,14,14,1,1,1,1,1,3,3,6
54,56,58,60,62,64,66,68,10,21,,,,,14,14,14,14,1,2,5,1,1,1,4,4
30,32,34,36,38,40,42,44,10,30,17,17,17,17,17,17,17,17,1,1,1,1,1,1,1,1
25,27,29,31,33,35,37,39,10,31,11,11,11,11,12,12,12,12,1,1,1,3,3,1,5,3
13,15,17,20,21,24,26,28,10,32,,,11,14,14,14,14,14,,,3,1,3,1,1,1
11,13,15,17,19,21,23,25,10,33,,,,12,12,,,,,,,7,7,,,
10,12,14,16,18,21,22,24,10,34,,,,11,12,13,13,13,,,,1,3,1,3,1
8,10,12,15,16,19,21,23,10,35,,,,,10,11,12,12,,,,0,7,3,1,3
-5,-3,-1,1,3,5,7,9,10,36,,,,,,,,,,,,,,,,
-8,-6,-4,-2,-1,2,3,5,10,37,,,,,,,,,,,,,,,,
-9,-7,-5,-3,-1,1,1,3,10,38,,,,,,,,,,,,,,,,
33,35,37,39,41,43,45,47,10,172,14,12,,,,,,,1,1,,,,,,
39,41,43,45,47,49,51,53,10,176,15,15,,,,,,,3,1,,,,,,
37,39,41,43,45,47,49,51,10,177,12,12,12,12,12,12,,,1,1,1,1,1,1,,
35,37,38,41,42,44,46,48,10,181,,16,16,16,16,16,16,16,,1,1,1,1,1,1,1
38,40,42,44,46,49,51,53,10,182,,,12,,,11,11,11,,,5,,,5,5,5
19,21,23,25,27,29,31,33,10,183,,,,,12,12,,,,,,0,3,,,
,,,,,,,,10,184,,,,,,,,,,,,,,,,
16,18,20,22,24,26,27,29,10,185,,,,,,12,15,,,,,,,1,3,
10,12,14,16,18,20,22,24,10,186,,,,,,,,12,,,,,,,,1
82,84,86,88,90,92,94,96,11,2,12,12,12,12,12,12,12,12,4,6,4,4,4,6,6,4
48,50,52,54,56,58,60,62,11,3,12,12,12,12,14,14,14,14,1,1,1,1,1,1,1,4
51,53,55,57,59,61,63,65,11,21,14,15,14,14,14,14,,,1,1,1,1,1,1,,
72,74,76,78,80,82,84,86,13,1,10,10,10,10,10,10,10,10,4,4,4,4,4,4,4,4
70,72,74,76,78,80,82,84,13,2,12,12,12,12,12,12,12,,4,4,4,4,4,4,4,
